Date,Industry_Vertical,Sub_Vertical,City,Invester_name,Investment_Type,Funding_Amount_in_cr,Startup_name
26-07-2018,Fin-Tech,Unified Global Investments Ecosystem,Hyderabad,Lindwall Family Investments LLC (LFI),Private Equity,4,Rocketium
30-07-2018,Consumer Internet,Health and fitness Platform,Bengaluru,"IDG Ventures, Accel Partners, Kalaari Capital and Others",Private Equity,960,Cashkumar
31-07-2018,Fin-Tech,Non-Bank Lending Platform For SME,Chennai,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",Private Equity,800,Edyoo
31-07-2018,Health Care,Health and Well being Platform,Hyderabad,Kantilal Patel,Seed Funding Round,40,Aashiyaan
01-06-2018,Finance,Credit-Based Lending Marketplace For Small And Medium Enterprises,Gurugram,"Sabre Partners, Puneet Dalmia & Others",Private Equity,80,Smartivity
04-06-2018,Technology,Sales Analytics and Enablement Platform,Bengaluru,Aspire Logistics LLC,Seed Funding Round,1,Bonphulapl
07-06-2018,Finance,Non-Banking Financial Company,Bhubneswar,Oman India Joint Investment Fund (OIJIF),Private Equity,184,Tonetag
10-06-2018,Finance,Online Lending Platform,Gurugram,"CapitalG, SAIF Partners and LGT Impact Ventures",Private Equity,172,Credright
12-06-2018,Finance,Supplychain Finance,Mumbai,Alpha Capital,Private Equity,118.4,Synctag
12-06-2018,E-commerce,Fashion e-tailer,Chennai,Paragon Partners,Private Equity,80.8,Varthana
12-06-2018,Consumer Internet,Hyperlocal Delivery Platform,Bengaluru,Saama Capital and Sequoia Capital,Seed Funding Round,24,Indigolearn
13-06-2018,Health Care,An Online Platform That Connects Ayurveda Doctors With Patients,Gurugram,"Spiral Ventures, Subho Ray and Samir Kumar",Seed Funding Round,2.4,Vedantu
13-06-2018,Finance,Mass Market Mutual Fund Investment Platform,Noida,"LetsVenture, Rajan Anandan, Basab Pradhan, Vivek Khare and Bijoy George",Seed Funding Round,3.6,Kaleidofin
14-06-2018,Consumer Internet,Online Home Furnishing Solutions,Bengaluru,Brand Capital,Seed Funding Round,27.6,Kriger Campus
14-06-2018,Technology,Cybersecurity Specialist,Mumbai,Helix Investments,Private Equity,38.4,Traveltriangle
18-06-2018,Health Care,Prosthetics Manufacturers,Chandigarh,Lighthouse Funds & Thuasne Participations,Private Equity,168,Letsmd
18-06-2018,IT,Data Analytics (SaaS),Delhi & Cambridge,Hyperplane Venture Capital and several angel investors,Seed Funding Round,13.6,Mintifi
19-06-2018,Consumer Internet,Online Rental Marketplace,Bengaluru,"Shorooq Investments, LetsVenture & Others",Seed Funding Round,8.8,Coverfox
20-06-2018,Finance,Trade Finance Firm,Mumbai,"Accel Partners, Sequoia India, Y Combinator and others",Private Equity,120,Fyle Technologies
22-06-2018,Consumer Internet,Online Motorbike And Scooter Rental Platforms,Bengaluru,"Sequoia Capital, Accel Partners & Raghunandan Gangappa",Private Equity,72.8,True Balance
25-06-2018,Consumer Internet,Digital Payment Platform For Beverage Delivery,Bengaluru,Diageo India,Private Equity,32,Mihuru
25-06-2018,Finance,App-based investment platform,Gurugram,Equanimity Venture Fund,Seed Funding Round,8,Capital Float
